player,players
633366,"524050,524048,402245,921509,793463,533956,308235,440970,320652,420402"
524050,"633366,524048,402245,921509,793463,533956,308235,440970,320652,420402"
524048,"633366,524050,402245,921509,793463,533956,308235,440970,320652,420402,712219,440968,703323"
402245,"633366,524050,524048,921509,793463,533956,308235,440970,320652,420402,633399,974173,1059030,712219,440968,703323"
921509,"633366,524050,524048,402245,793463,533956,308235,440970,320652,420402,633399,974173,1059030,712219,440968,703323,914171,25913"
793463,"633366,524050,524048,402245,921509,533956,308235,440970,320652,420402,712219,440968,703323,914171,25913,1108490,935553,973945,419873,974109"
533956,"633366,524050,524048,402245,921509,793463,308235,440970,320652,420402,633399,974173,1059030,712219,440968,703323,914171,25913,1108490,935553,973945,419873,974109"
308235,"633366,524050,524048,402245,921509,793463,533956,440970,320652,420402,712219,440968,703323,25913,973945,419873,974109"
440970,"633366,524050,524048,402245,921509,793463,533956,308235,320652,420402,633399,974173,1059030,712219,440968,703323,914171,25913,1108490,935553,973945,419873,974109"
320652,"633366,524050,524048,402245,921509,793463,533956,308235,440970,420402,633399,974173,1059030,712219,440968,703323,914171,25913,1108490,935553,973945,419873,974109"
420402,"633366,524050,524048,402245,921509,793463,533956,308235,440970,320652,633399,974173,1059030,712219,440968,703323,914171,25913,973945,419873,974109"
633399,"402245,921509,533956,440970,320652,420402,974173,1059030,712219,440968"
974173,"402245,921509,533956,440970,320652,420402,633399,1059030,712219,440968"
1059030,"402245,921509,533956,440970,320652,420402,633399,974173,712219,440968"
712219,"524048,402245,921509,793463,533956,308235,440970,320652,420402,633399,974173,1059030,440968,703323,914171,25913"
440968,"524048,402245,921509,793463,533956,308235,440970,320652,420402,633399,974173,1059030,712219,703323,914171,25913,1108490,935553,973945,419873,974109"
703323,"524048,402245,921509,793463,533956,308235,440970,320652,420402,712219,440968,914171,25913,1108490,935553,973945,419873"
914171,"921509,793463,533956,440970,320652,420402,712219,440968,703323,25913"
25913,"921509,793463,533956,308235,440970,320652,420402,712219,440968,703323,914171,1108490,935553,973945,419873,974109"
1108490,"793463,533956,440970,320652,440968,703323,25913,935553,973945,419873"
935553,"793463,533956,440970,320652,440968,703323,25913,1108490,973945,419873"
973945,"793463,533956,308235,440970,320652,420402,440968,703323,25913,1108490,935553,419873,974109"
419873,"793463,533956,308235,440970,320652,420402,440968,703323,25913,1108490,935553,973945,974109"
974109,"793463,533956,308235,440970,320652,420402,440968,25913,973945,419873"
